#OTU_IDs	16S_rRNA_Count
4378517	5.0
1001007	5.0
4327427	2.0
4327426	1.0
4327429	1.0
4327428	2.0
649499	7.0
192058	4.0
1133950	4.0
354963	1.0
305512	2.0
830358	2.0
1554783	6.0
305518	1.0
305519	2.0
830355	2.0
581410	2.0
581413	5.0
581412	4.0
153105	2.0
1609478	1.0
1609479	2.0
4354887	5.0
4354885	5.0
1609472	2.0
240992	6.0
250814	3.0
1609471	2.0
1609476	2.0
153109	2.0
1609474	3.0
1609475	3.0
43663	2.0
1020619	4.0
292932	4.0
260316	1.0
148429	2.0
1020612	4.0
300043	2.0
300041	2.0
842326	2.0
875704	3.0
300045	2.0
842322	1.0
875709	6.0
292981	3.0
1028426	3.0
580286	4.0
806372	3.0
161806	9.0
323155	4.0
323152	2.0
806377	4.0
1009254	5.0
806378	1.0
3119180	4.0
518474	2.0
518477	2.0
4457439	3.0
518471	5.0
162570	4.0
350891	5.0
350893	2.0
350892	2.0
350896	3.0
510260	5.0
2626017	2.0
510264	2.0
510265	2.0
4404572	5.0
4404577	2.0
4404576	4.0
4404575	3.0
1139892	9.0
4324190	4.0
807570	2.0
4324196	5.0
1139897	1.0
198175	4.0
198176	1.0
198170	3.0
369973	2.0
4449070	1.0
190789	10.0
930913	4.0
4449075	3.0
2517242	2.0
4449079	6.0
930919	10.0
176183	4.0
815453	3.0
190786	2.0
176186	3.0
295064	2.0
2510637	3.0
295061	2.0
368139	1.0
152272	4.0
368134	5.0
368130	1.0
568619	2.0
1032520	2.0
4300015	3.0
4300017	3.0
4300016	3.0
4300012	4.0
111624	5.0
2298619	5.0
806221	2.0
1029772	1.0
578457	4.0
4309578	3.0
3117273	4.0
4439571	1.0
4483751	2.0
4309574	2.0
4309577	3.0
1888517	5.0
288181	2.0
2216436	3.0
187718	4.0
288184	4.0
187714	3.0
4314051	6.0
4314052	6.0
187717	1.0
982266	9.0
4314057	3.0
157737	3.0
4127493	5.0
157732	4.0
4127496	5.0
324966	2.0
2500063	1.0
1124552	9.0
264560	2.0
4282092	4.0
264562	6.0
575551	3.0
4282096	10.0
4325125	2.0
264569	1.0
264568	1.0
4408793	5.0
263036	3.0
1108035	3.0
263034	2.0
263035	2.0
263032	4.0
192929	6.0
4297538	4.0
567115	1.0
192921	3.0
192920	1.0
192923	1.0
192924	1.0
79724	3.0
1136709	6.0
549937	1.0
1136701	5.0
28400	9.0
533217	4.0
58554	5.0
566959	3.0
587137	5.0
751728	3.0
4301769	4.0
751725	4.0
566951	2.0
4069764	1.0
4301760	2.0
4069762	2.0
4301762	3.0
4301763	4.0
539917	2.0
289769	4.0
289191	5.0
587132	3.0
539915	3.0
750452	10.0
2634798	2.0
197250	2.0
4482804	3.0
1136207	2.0
2884179	2.0
583348	2.0
3602946	10.0
3269222	3.0
4478058	1.0
4478057	4.0
540516	2.0
1864499	10.0
1864498	10.0
540513	4.0
4478052	2.0
4478051	3.0
4478050	3.0
882023	2.0
584444	2.0
542404	5.0
882028	3.0
4402791	4.0
1137229	2.0
4402797	1.0
23714	1.0
539918	1.0
23710	4.0
533392	3.0
4294845	2.0
4454318	10.0
1105548	2.0
1105540	2.0
1105547	2.0
1105546	2.0
1105544	2.0
1146678	10.0
4225748	1.0
266552	5.0
266551	2.0
760955	2.0
2892221	3.0
1146676	2.0
266559	5.0
751671	4.0
258947	7.0
1119537	2.0
1119535	6.0
1058761	2.0
1023140	3.0
296290	4.0
3865357	3.0
196125	4.0
